County,County code,Year,Fuel type,Region,Count
Huddinge,126,1/1/2018,Ethanol,Stockholms län,2
Huddinge,126,1/1/2018,Gas,Stockholms län,2094
Huddinge,126,1/1/2018,NG,Stockholms län,56
Huddinge,126,1/1/2018,Plug-in hybrids,Stockholms län,260
Huddinge,126,1/1/2019,Diesel,Stockholms län,716
Huddinge,126,1/1/2019,Electric hybrids,Stockholms län,377
Huddinge,126,1/1/2019,Electricty,Stockholms län,104
Huddinge,126,1/1/2019,Ethanol,Stockholms län,6
Huddinge,126,1/1/2019,Gas,Stockholms län,1639
Huddinge,126,1/1/2019,NG,Stockholms län,41
Huddinge,126,1/1/2019,Plug-in hybrids,Stockholms län,205
Huddinge,126,1/1/2020,Diesel,Stockholms län,391
Huddinge,126,1/1/2020,Electric hybrids,Stockholms län,339
Huddinge,126,1/1/2020,Electricty,Stockholms län,218
Huddinge,126,1/1/2020,Ethanol,Stockholms län,2
Huddinge,126,1/1/2020,Gas,Stockholms län,1140
Huddinge,126,1/1/2020,NG,Stockholms län,4
Huddinge,126,1/1/2020,Plug-in hybrids,Stockholms län,524
Huddinge,126,1/1/2021,Diesel,Stockholms län,332
Huddinge,126,1/1/2021,Electric hybrids,Stockholms län,314
Huddinge,126,1/1/2021,Electricty,Stockholms län,510
Huddinge,126,1/1/2021,Ethanol,Stockholms län,22
Huddinge,126,1/1/2021,Gas,Stockholms län,993
Huddinge,126,1/1/2021,NG,Stockholms län,11
Huddinge,126,1/1/2021,Plug-in hybrids,Stockholms län,598
Botkyrka,127,1/1/2013,Diesel,Stockholms län,464
Botkyrka,127,1/1/2013,Electric hybrids,Stockholms län,63
Botkyrka,127,1/1/2013,Electricty,Stockholms län,6
Botkyrka,127,1/1/2013,Ethanol,Stockholms län,4
Botkyrka,127,1/1/2013,Gas,Stockholms län,568
Botkyrka,127,1/1/2013,NG,Stockholms län,87
Botkyrka,127,1/1/2013,Plug-in hybrids,Stockholms län,5
Botkyrka,127,1/1/2014,Diesel,Stockholms län,473
Botkyrka,127,1/1/2014,Electric hybrids,Stockholms län,54
Botkyrka,127,1/1/2014,Electricty,Stockholms län,3
Botkyrka,127,1/1/2014,Ethanol,Stockholms län,2
Botkyrka,127,1/1/2014,Gas,Stockholms län,639
Botkyrka,127,1/1/2014,NG,Stockholms län,97
Botkyrka,127,1/1/2014,Plug-in hybrids,Stockholms län,9
Botkyrka,127,1/1/2015,Diesel,Stockholms län,592
Botkyrka,127,1/1/2015,Electric hybrids,Stockholms län,62
Botkyrka,127,1/1/2015,Electricty,Stockholms län,18
