County,County code,Date,Fuel type,Region,Count,County Latitude,County Longitude,Region Longitude,Region Latitude
Värmdö,120,1/1/2020,Plug-in hybrids,Stockholms län,282,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2021,Diesel,Stockholms län,105,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2021,Electric hybrids,Stockholms län,99,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2021,Electricty,Stockholms län,312,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2021,Ethanol,Stockholms län,15,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2021,Gas,Stockholms län,364,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2021,NG,Stockholms län,0,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2021,Plug-in hybrids,Stockholms län,358,59.31614,18.70414,59.5,18.0
Järfälla,123,1/1/2013,Diesel,Stockholms län,535,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2013,Electric hybrids,Stockholms län,36,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2013,Electricty,Stockholms län,1,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2013,Ethanol,Stockholms län,13,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2013,Gas,Stockholms län,674,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2013,NG,Stockholms län,25,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2013,Plug-in hybrids,Stockholms län,3,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2014,Diesel,Stockholms län,662,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2014,Electric hybrids,Stockholms län,51,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2014,Electricty,Stockholms län,3,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2014,Ethanol,Stockholms län,41,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2014,Gas,Stockholms län,730,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2014,NG,Stockholms län,53,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2014,Plug-in hybrids,Stockholms län,10,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2015,Diesel,Stockholms län,605,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2015,Electric hybrids,Stockholms län,67,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2015,Electricty,Stockholms län,12,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2015,Ethanol,Stockholms län,1,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2015,Gas,Stockholms län,780,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2015,NG,Stockholms län,44,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2015,Plug-in hybrids,Stockholms län,9,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2016,Diesel,Stockholms län,761,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2016,Electric hybrids,Stockholms län,86,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2016,Electricty,Stockholms län,12,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2016,Ethanol,Stockholms län,1,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2016,Gas,Stockholms län,1061,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2016,NG,Stockholms län,28,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2016,Plug-in hybrids,Stockholms län,13,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2017,Diesel,Stockholms län,544,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2017,Electric hybrids,Stockholms län,118,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2017,Electricty,Stockholms län,16,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2017,Ethanol,Stockholms län,0,59.40875,17.86514,59.5,18.0
Järfälla,123,1/1/2017,Gas,Stockholms län,768,59.40875,17.86514,59.5,18.0
